date,total_views,unique_visitors,last_updated
2025-10-07,670,6,2025-10-18 08:17:29 UTC
2025-10-08,489,4,2025-10-18 08:17:29 UTC
2025-10-09,244,10,2025-10-18 08:17:29 UTC
2025-10-10,73,4,2025-10-18 08:17:29 UTC
2025-10-11,23,10,2025-10-18 08:17:29 UTC
2025-10-12,2,2,2025-10-18 08:17:29 UTC
2025-10-13,4,4,2025-10-18 08:17:29 UTC
2025-10-14,61,6,2025-10-18 08:17:29 UTC
2025-10-15,7,3,2025-10-18 08:17:29 UTC
2025-10-16,9,6,2025-10-18 08:17:29 UTC
2025-10-17,56,7,2025-10-18 08:17:29 UTC
2025-10-18,196,4,2025-10-18 08:17:29 UTC
